Year,Month,MPU1,MPU2
1985,1,270,127
1985,2,220,95
1985,3,119,86
1985,4,122,82
1985,5,108,112
1985,6,157,115
1985,7,173,123
1985,8,111,116
1985,9,114,148
1985,10,70,98
1985,11,70,94
1985,12,113,88
1986,1,120,113
1986,2,190,123
1986,3,105,71
1986,4,121,89
1986,5,148,153
1986,6,163,137
1986,7,184,147
1986,8,133,97
1986,9,167,103
1986,10,74,82
1986,11,58,91
1986,12,79,90
1987,1,124,109
1987,2,37,96
1987,3,58,92
1987,4,94,86
1987,5,99,84
1987,6,137,133
1987,7,59,59
1987,8,24,61
1987,9,65,57
1987,10,353,215
1987,11,290,200
1987,12,217,201
1988,1,268,155
1988,2,143,138
1988,3,47,64
1988,4,78,89
1988,5,61,87
1988,6,65,63
1988,7,59,90
1988,8,111,67
1988,9,70,82
1988,10,104,76
1988,11,177,126
1988,12,109,57
1989,1,94,43
1989,2,61,37
1989,3,47,43
1989,4,67,82
1989,5,79,54
1989,6,119,101
1989,7,103,81
1989,8,74,74
1989,9,51,53
1989,10,95,63
1989,11,67,57
1989,12,91,94
1990,1,129,47
1990,2,75,67
1990,3,55,59
1990,4,50,31
1990,5,59,46
1990,6,59,64
1990,7,77,54
1990,8,197,127
1990,9,163,103
1990,10,170,96
1990,11,178,123
1990,12,146,112
1991,1,344,195
1991,2,172,104
1991,3,176,120
1991,4,118,107
1991,5,53,74
1991,6,48,87
1991,7,97,47
1991,8,82,78
1991,9,96,75
1991,10,112,93
1991,11,201,125
1991,12,160,114
1992,1,160,84
1992,2,160,133
1992,3,95,54
1992,4,71,52
1992,5,48,59
1992,6,86,107
1992,7,173,95
1992,8,142,113
1992,9,196,168
1992,10,195,140
1992,11,117,80
1992,12,58,48
1993,1,55,46
1993,2,102,90
1993,3,82,65
1993,4,55,57
1993,5,106,90
1993,6,138,104
1993,7,133,93
1993,8,146,100
1993,9,40,58
1993,10,57,57
1993,11,57,69
1993,12,39,63
1994,1,64,49
1994,2,66,80
1994,3,105,96
1994,4,160,118
1994,5,161,110
1994,6,70,79
1994,7,74,72
1994,8,101,88
1994,9,52,65
1994,10,62,52
1994,11,126,89
1994,12,86,82
1995,1,185,150
1995,2,167,139
1995,3,96,93
1995,4,50,81
1995,5,39,54
1995,6,120,70
1995,7,89,74
1995,8,36,43
1995,9,32,58
1995,10,42,60
1995,11,94,86
1995,12,177,72
1996,1,138,75
1996,2,58,56
1996,3,68,44
1996,4,29,46
1996,5,58,51
1996,6,71,78
1996,7,92,77
1996,8,42,69
1996,9,69,69
1996,10,45,43
1996,11,31,51
1996,12,61,61
1997,1,53,44
1997,2,19,37
1997,3,61,71
1997,4,66,77
1997,5,75,65
1997,6,54,73
1997,7,24,62
1997,8,76,69
1997,9,17,53
1997,10,80,101
1997,11,54,88
1997,12,59,117
1998,1,121,100
1998,2,137,123
1998,3,54,44
1998,4,57,66
1998,5,61,60
1998,6,59,72
1998,7,83,105
1998,8,146,148
1998,9,239,230
1998,10,157,190
1998,11,149,142
1998,12,88,103
1999,1,110,132
1999,2,37,89
1999,3,49,65
1999,4,35,59
1999,5,30,63
1999,6,58,90
1999,7,89,107
1999,8,77,96
1999,9,64,94
1999,10,64,80
1999,11,56,78
1999,12,116,90
2000,1,47,70
2000,2,54,71
2000,3,49,90
2000,4,87,80
2000,5,95,127
2000,6,88,116
2000,7,43,111
2000,8,56,59
2000,9,82,79
2000,10,70,92
2000,11,227,197
2000,12,211,211
2001,1,166,157
2001,2,172,150
2001,3,134,125
2001,4,156,162
2001,5,114,112
2001,6,62,100
2001,7,89,111
2001,8,90,85
2001,9,408,401
2001,10,338,263
2001,11,197,166
2001,12,97,151
2002,1,138,147
2002,2,60,83
2002,3,103,114
2002,4,58,90
2002,5,103,94
2002,6,68,86
2002,7,114,96
2002,8,131,146
2002,9,178,128
2002,10,121,98
2002,11,207,172
2002,12,165,126
2003,1,172,148
2003,2,284,148
2003,3,301,225
2003,4,156,168
2003,5,122,141
2003,6,68,112
2003,7,52,95
2003,8,84,60
2003,9,54,66
2003,10,34,44
2003,11,30,46
2003,12,60,60
2004,1,95,77
2004,2,53,80
2004,3,39,66
2004,4,57,67
2004,5,93,104
2004,6,115,134
2004,7,73,103
